method,first_alarm_ms,first_post_alarm_ms,origin_at_alarm,leading_at_alarm,origin_score_at_alarm,origin_margin_at_alarm,origin_ignorance_at_alarm,first_localization_ms,first_origin,samples,alarm_samples,pre_alarm_samples,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_samples,high_localization_conflict_samples,propagation_samples
Final CLO-DSF,72600,72600,TIMING,TIMING,1,1,0,72600,TIMING,1201,9,0,0.991673605329,0.991673605329,0,0,0,0,0
Candidate 2,72600,72600,TIMING,TIMING,0.92,0.9,0.1,72600,TIMING,1201,9,0,0.991673605329,0.991925444189,0,0,0,0,0
Candidate 2 no origin discount,72600,72600,TIMING,TIMING,1,1,0,72600,TIMING,1201,9,0,0.991673605329,0.991673605329,0,0,0,0,0
Final no temporal,72600,72600,TIMING,TIMING,1,1,0,72600,TIMING,1201,6,0,0.995004163197,0.995004163197,0,0,0,0,0
Candidate 1,72700,72700,TIMING,TIMING,0.959595959596,0.954545454545,0.030303030303,72700,TIMING,1201,5,0,0.166635959808,0.166635959808,0.00135677113223,0.00135677113223,1,1,0
Plain DS,72600,72600,TIMING,TIMING,1,1,0,72600,TIMING,1201,6,0,0.497502081599,0.497502081599,0,0,0,0,0
Simple OR,72600,72600,UNKNOWN,UNKNOWN,0,0,1,-1,UNKNOWN,1201,6,0,1,1,0,0,0,0,0
Weighted Sum,72600,72600,UNKNOWN,UNKNOWN,0,0,1,-1,UNKNOWN,1201,6,0,1,1,0,0,0,0,0
Hybrid,-1,-1,UNKNOWN,UNKNOWN,0,0,0,-1,UNKNOWN,1201,0,0,1,1,0,0,0,0,0
Timing Monitor,72600,72600,UNKNOWN,UNKNOWN,0,0,1,-1,UNKNOWN,1201,13,0,1,1,0,0,0,0,0
