method,first_alarm_ms,first_post_alarm_ms,origin_at_alarm,leading_at_alarm,origin_score_at_alarm,origin_margin_at_alarm,origin_ignorance_at_alarm,first_localization_ms,first_origin,samples,alarm_samples,pre_alarm_samples,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_samples,high_localization_conflict_samples,propagation_samples
Final CLO-DSF,30600,30600,TIMING,TIMING,1,1,0,30600,TIMING,1201,895,0,0.254775353024,0.254775353024,0,1.23773578238e-12,0,0,0
Candidate 2,30600,30600,TIMING,TIMING,0.919999999918,0.899999999875,0.0999999999911,30600,TIMING,1201,895,0,0.254775353024,0.271051379926,0,7.26497089706e-13,0,0,0
Candidate 2 no origin discount,30600,30600,TIMING,TIMING,1,1,0,30600,TIMING,1201,895,0,0.254775353024,0.254775353024,0,1.23773578238e-12,0,0,0
Final no temporal,30600,30600,TIMING,TIMING,1,1,0,30600,TIMING,1201,895,0,0.254785212152,0.254785212152,0,0,0,0,0
Candidate 1,30700,30700,TIMING,TIMING,0.959595959596,0.954545454545,0.030303030303,30700,TIMING,1201,894,0,0.0591873990227,0.0591873990227,0.000610284685019,0.000610284685019,1,1,0
Plain DS,30600,30600,TIMING,TIMING,1,1,0,30600,TIMING,1201,895,0,0.127394450094,0.127394450094,1.22874365696e-06,1.22874365696e-06,0,0,0
Simple OR,30600,30600,UNKNOWN,UNKNOWN,0,0,1,-1,UNKNOWN,1201,895,0,1,1,0,0,0,0,0
Weighted Sum,30600,30600,UNKNOWN,UNKNOWN,0,0,1,-1,UNKNOWN,1201,895,0,1,1,0,0,0,0,0
Hybrid,-1,-1,UNKNOWN,UNKNOWN,0,0,0,-1,UNKNOWN,1201,0,0,1,1,0,0,0,0,0
Timing Monitor,30600,30600,UNKNOWN,UNKNOWN,0,0,1,-1,UNKNOWN,1201,895,0,1,1,0,0,0,0,0
