method,first_alarm_ms,first_post_alarm_ms,origin_at_alarm,leading_at_alarm,origin_score_at_alarm,origin_margin_at_alarm,origin_ignorance_at_alarm,first_localization_ms,first_origin,samples,alarm_samples,pre_alarm_samples,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_samples,high_localization_conflict_samples,propagation_samples
Final CLO-DSF,30600,30600,TIMING,TIMING,1,1,0,30600,TIMING,1201,9,0,0.990749802942,0.990749802942,0,1.18177975427e-33,0,0,0
Candidate 2,30600,30600,TIMING,TIMING,0.92,0.9,0.1,30600,TIMING,1201,9,0,0.990749802942,0.991359373752,0,7.1173189377e-34,0,0,0
Candidate 2 no origin discount,30600,30600,TIMING,TIMING,1,1,0,30600,TIMING,1201,9,0,0.990749802942,0.990749802942,0,1.18177975427e-33,0,0,0
Final no temporal,30600,30600,TIMING,TIMING,1,1,0,30600,TIMING,1201,6,0,0.994809340478,0.994809340478,0,0,0,0,0
Candidate 1,30700,30700,TIMING,TIMING,0.959595959596,0.954545454545,0.030303030303,30700,TIMING,1201,5,0,0.166699650356,0.166699650356,0.00141575945157,0.00141575945157,1,1,0
Plain DS,30600,30600,TIMING,TIMING,1,1,0,30600,TIMING,1201,6,0,0.497547032927,0.497547032927,9.4479685176e-05,9.4479685176e-05,0,0,0
Simple OR,30600,30600,UNKNOWN,UNKNOWN,0,0,1,-1,UNKNOWN,1201,6,0,1,1,0,0,0,0,0
Weighted Sum,30600,30600,UNKNOWN,UNKNOWN,0,0,1,-1,UNKNOWN,1201,6,0,1,1,0,0,0,0,0
Hybrid,-1,-1,UNKNOWN,UNKNOWN,0,0,0,-1,UNKNOWN,1201,0,0,1,1,0,0,0,0,0
Timing Monitor,30600,30600,UNKNOWN,UNKNOWN,0,0,1,-1,UNKNOWN,1201,13,0,1,1,0,0,0,0,0
