partition,method,group,runs,faulty_runs,benign_runs,detected,coverage,macro_coverage,silent_plant,benign_false_alarms,benign_false_alarm_rate,precision,recall,latency_median_ms,latency_p95_ms,localized,localization_coverage,correct_localizations,wrong_localizations,localization_accuracy,macro_localization_accuracy,accuracy_when_localized,wrong_localization_rate,unknown,unknown_rate,localized_before_plant,preinjection_alarm_runs,propagation_supported_runs,control_effect_runs,coverage_given_control_effect,actuator_effect_runs,coverage_given_actuator_effect,plant_manifestation_runs,coverage_given_plant_manifestation,pre_plant_alarms,same_plant_alarms,post_plant_alarms,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_runs,high_localization_conflict_runs
development-validation,Memory only,pulses,24,24,0,23,0.9583333333333334,0.9583333333333334,0,0,,1.0,0.9583333333333334,100.0,600.0,23,1.0,23,0,1.0,1.0,1.0,0.0,0,0.0,11,0,0,24,0.9583333333333334,24,0.9583333333333334,23,1.0,11,9,3,0.7787154166725834,0.7787154166725834,0.0,0.0,0,0
development-validation,Memory only,slow_drift,32,32,0,0,0.0,0.0,32,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,32,0.0,32,0.0,32,0.0,0,0,0,0.9995544604809062,0.9995544604809062,0.0,0.0,0,0
development-validation,Memory only,positive,52,52,0,33,0.6346153846153846,0.6346153846153846,18,0,,1.0,0.6346153846153846,100.0,600.0,33,1.0,33,0,1.0,1.0,1.0,0.0,0,0.0,11,0,0,52,0.6346153846153846,52,0.6346153846153846,51,0.6470588235294118,11,15,7,0.896239176274827,0.896239176274827,0.0,0.0,0,0
development-validation,Memory only,negative,28,28,0,9,0.32142857142857145,0.32142857142857145,19,0,,1.0,0.32142857142857145,100.0,200.0,9,1.0,9,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,28,0.32142857142857145,28,0.32142857142857145,28,0.32142857142857145,0,6,3,0.9970049658385357,0.9970049658385357,0.0,0.0,0,0
development-validation,Memory only,low_magnitude,36,36,0,30,0.8333333333333334,0.8333333333333334,5,0,,1.0,0.8333333333333334,200.0,600.0,30,1.0,30,0,1.0,1.0,1.0,0.0,0,0.0,3,0,0,36,0.8333333333333334,36,0.8333333333333334,35,0.8571428571428571,3,17,10,0.9404176445353611,0.9404176445353611,0.0,0.0,0,0
development-validation,Memory only,medium_magnitude,44,44,0,12,0.2727272727272727,0.2727272727272727,32,0,,1.0,0.2727272727272727,100.0,100.0,12,1.0,12,0,1.0,1.0,1.0,0.0,0,0.0,8,0,0,44,0.2727272727272727,44,0.2727272727272727,44,0.2727272727272727,8,4,0,0.92421684105675,0.92421684105675,0.0,0.0,0,0
development-validation,Anchor unavailable,weak_steps,24,24,0,19,0.7916666666666666,0.7916666666666666,5,0,,1.0,0.7916666666666666,100.0,209.99999999999977,19,1.0,19,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,24,0.7916666666666666,24,0.7916666666666666,24,0.7916666666666666,0,12,7,0.993569311426625,0.993569311426625,0.0,0.0,0,0
development-validation,Anchor unavailable,pulses,24,24,0,23,0.9583333333333334,0.9583333333333334,0,0,,1.0,0.9583333333333334,100.0,600.0,23,1.0,23,0,1.0,1.0,1.0,0.0,0,0.0,11,0,0,24,0.9583333333333334,24,0.9583333333333334,23,1.0,11,9,3,0.7787154166725834,0.7787154166725834,0.0,0.0,0,0
development-validation,Anchor unavailable,slow_drift,32,32,0,0,0.0,0.0,32,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,32,0.0,32,0.0,32,0.0,0,0,0,0.9995544604809062,0.9995544604809062,0.0,0.0,0,0
development-validation,Anchor unavailable,positive,52,52,0,33,0.6346153846153846,0.6346153846153846,18,0,,1.0,0.6346153846153846,100.0,600.0,33,1.0,33,0,1.0,1.0,1.0,0.0,0,0.0,11,0,0,52,0.6346153846153846,52,0.6346153846153846,51,0.6470588235294118,11,15,7,0.896239176274827,0.896239176274827,0.0,0.0,0,0
development-validation,Anchor unavailable,negative,28,28,0,9,0.32142857142857145,0.32142857142857145,19,0,,1.0,0.32142857142857145,100.0,200.0,9,1.0,9,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,28,0.32142857142857145,28,0.32142857142857145,28,0.32142857142857145,0,6,3,0.9970049658385357,0.9970049658385357,0.0,0.0,0,0
development-validation,Anchor unavailable,low_magnitude,36,36,0,30,0.8333333333333334,0.8333333333333334,5,0,,1.0,0.8333333333333334,200.0,600.0,30,1.0,30,0,1.0,1.0,1.0,0.0,0,0.0,3,0,0,36,0.8333333333333334,36,0.8333333333333334,35,0.8571428571428571,3,17,10,0.9404176445353611,0.9404176445353611,0.0,0.0,0,0
development-validation,Anchor unavailable,medium_magnitude,44,44,0,12,0.2727272727272727,0.2727272727272727,32,0,,1.0,0.2727272727272727,100.0,100.0,12,1.0,12,0,1.0,1.0,1.0,0.0,0,0.0,8,0,0,44,0.2727272727272727,44,0.2727272727272727,44,0.2727272727272727,8,4,0,0.92421684105675,0.92421684105675,0.0,0.0,0,0
development-validation,Revised CLO-DSF,weak_steps,24,24,0,19,0.7916666666666666,0.7916666666666666,5,0,,1.0,0.7916666666666666,100.0,209.99999999999977,19,1.0,19,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,24,0.7916666666666666,24,0.7916666666666666,24,0.7916666666666666,0,12,7,0.993569311426625,0.993569311426625,0.0,0.0,0,0
development-validation,Revised CLO-DSF,pulses,24,24,0,23,0.9583333333333334,0.9583333333333334,0,0,,1.0,0.9583333333333334,100.0,600.0,23,1.0,23,0,1.0,1.0,1.0,0.0,0,0.0,11,0,0,24,0.9583333333333334,24,0.9583333333333334,23,1.0,11,9,3,0.7787154166725834,0.7787154166725834,0.0,0.0,0,0
development-validation,Revised CLO-DSF,slow_drift,32,32,0,0,0.0,0.0,32,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,32,0.0,32,0.0,32,0.0,0,0,0,0.9995544604809062,0.9995544604809062,0.0,0.0,0,0
development-validation,Revised CLO-DSF,positive,52,52,0,33,0.6346153846153846,0.6346153846153846,18,0,,1.0,0.6346153846153846,100.0,600.0,33,1.0,33,0,1.0,1.0,1.0,0.0,0,0.0,11,0,0,52,0.6346153846153846,52,0.6346153846153846,51,0.6470588235294118,11,15,7,0.896239176274827,0.896239176274827,0.0,0.0,0,0
development-validation,Revised CLO-DSF,negative,28,28,0,9,0.32142857142857145,0.32142857142857145,19,0,,1.0,0.32142857142857145,100.0,200.0,9,1.0,9,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,28,0.32142857142857145,28,0.32142857142857145,28,0.32142857142857145,0,6,3,0.9970049658385357,0.9970049658385357,0.0,0.0,0,0
development-validation,Revised CLO-DSF,low_magnitude,36,36,0,30,0.8333333333333334,0.8333333333333334,5,0,,1.0,0.8333333333333334,200.0,600.0,30,1.0,30,0,1.0,1.0,1.0,0.0,0,0.0,3,0,0,36,0.8333333333333334,36,0.8333333333333334,35,0.8571428571428571,3,17,10,0.9404176445353611,0.9404176445353611,0.0,0.0,0,0
development-validation,Revised CLO-DSF,medium_magnitude,44,44,0,12,0.2727272727272727,0.2727272727272727,32,0,,1.0,0.2727272727272727,100.0,100.0,12,1.0,12,0,1.0,1.0,1.0,0.0,0,0.0,8,0,0,44,0.2727272727272727,44,0.2727272727272727,44,0.2727272727272727,8,4,0,0.92421684105675,0.92421684105675,0.0,0.0,0,0
development-validation,Weighted Sum,weak_steps,24,24,0,14,0.5833333333333334,0.5833333333333334,10,0,,1.0,0.5833333333333334,8450.0,9705.0,0,0.0,0,0,0.0,0.0,,0.0,14,1.0,0,0,0,24,0.5833333333333334,24,0.5833333333333334,24,0.5833333333333334,0,0,14,1.0,1.0,0.0,0.0,0,0
development-validation,Weighted Sum,pulses,24,24,0,18,0.75,0.75,5,0,,1.0,0.75,200.0,7330.0,0,0.0,0,0,0.0,0.0,,0.0,18,1.0,0,0,0,24,0.75,24,0.75,23,0.782608695652174,8,0,10,1.0,1.0,0.0,0.0,0,0
development-validation,Weighted Sum,slow_drift,32,32,0,16,0.5,0.5,16,0,,1.0,0.5,8050.0,10550.0,0,0.0,0,0,0.0,0.0,,0.0,16,1.0,0,0,0,32,0.5,32,0.5,32,0.5,0,0,16,1.0,1.0,0.0,0.0,0,0
development-validation,Weighted Sum,positive,52,52,0,33,0.6346153846153846,0.6346153846153846,18,0,,1.0,0.6346153846153846,7000.0,10440.0,0,0.0,0,0,0.0,0.0,,0.0,33,1.0,0,0,0,52,0.6346153846153846,52,0.6346153846153846,51,0.6470588235294118,8,0,25,1.0,1.0,0.0,0.0,0,0
development-validation,Weighted Sum,negative,28,28,0,15,0.5357142857142857,0.5357142857142857,13,0,,1.0,0.5357142857142857,8400.0,9690.0,0,0.0,0,0,0.0,0.0,,0.0,15,1.0,0,0,0,28,0.5357142857142857,28,0.5357142857142857,28,0.5357142857142857,0,0,15,1.0,1.0,0.0,0.0,0,0
development-validation,Weighted Sum,low_magnitude,36,36,0,20,0.5555555555555556,0.5555555555555556,15,0,,1.0,0.5555555555555556,7650.0,9615.0,0,0.0,0,0,0.0,0.0,,0.0,20,1.0,0,0,0,36,0.5555555555555556,36,0.5555555555555556,35,0.5714285714285714,0,0,20,1.0,1.0,0.0,0.0,0,0
development-validation,Weighted Sum,medium_magnitude,44,44,0,28,0.6363636363636364,0.6363636363636364,16,0,,1.0,0.6363636363636364,6850.0,10465.0,0,0.0,0,0,0.0,0.0,,0.0,28,1.0,0,0,0,44,0.6363636363636364,44,0.6363636363636364,44,0.6363636363636364,8,0,20,1.0,1.0,0.0,0.0,0,0
